MGT_type,Clades,Lineages,Continents_70%,Source,Temporal,Outbreak,MDR_MGT-ST
MGT4_ST2,,,Africa,,,,
MGT4_ST20,,,North America,,,,
MGT4_ST201,,,North America,,,,
MGT4_ST2015,,,North America,,,,
MGT4_ST2024,,,North America,,,,
MGT4_ST2025,,,North America,,,,
MGT4_ST2029,,,,,,,
MGT4_ST205,,,Europe,,,,
MGT4_ST2060,,,North America,,,,
MGT4_ST2062,,,North America,,,,
MGT4_ST208,,,Europe,,,,
MGT4_ST209,,,Europe,,,,
MGT4_ST2090,,,North America,,,,
MGT4_ST212,,,North America,,,,
MGT4_ST213,,,North America,,,,
MGT4_ST2315,,,,,,,
MGT4_ST2329,,,,,,,
MGT4_ST2358,,,,,,,
MGT4_ST237,,,Europe,,,,
MGT4_ST239,,,Europe,,,,
MGT4_ST24,,,Europe,,,Large scale Outbreak,
MGT4_ST2413,,,,,,,MGT4_ST2413
MGT4_ST245,,,,,,,MGT4_ST245
MGT4_ST246,,,Europe,,,,
MGT4_ST247,,,Europe,,,,
MGT4_ST249,,,Europe,,,,
MGT4_ST25,,,Europe,,,Large scale Outbreak,
MGT4_ST251,,,Europe,,,,
MGT4_ST256,,,Europe,,,,
MGT4_ST2585,,,,,,,MGT4_ST2585
MGT4_ST26,,,Europe,,,,
MGT4_ST266,,,North America,,,,
MGT4_ST27,,,,,,,
MGT4_ST273,,,South America,,,,
MGT4_ST275,,,South America,,,,
MGT4_ST276,,,South America,,,,
MGT4_ST277,,,North America,,,,
MGT4_ST278,,,North America,,,,
MGT4_ST28,,,Europe,,,,
MGT4_ST286,,,North America,,,,
MGT4_ST29,,,Europe,,,Large scale Outbreak,
MGT4_ST292,,,Africa,,,,
MGT4_ST296,,,North America,,,,
MGT4_ST300,,,Europe,,,,
MGT4_ST304,,,,,,,
MGT4_ST31,,,Europe,,,Large scale Outbreak,
MGT4_ST311,,,North America,,,,
MGT4_ST316,,,North America,,,,
MGT4_ST32,,,Europe,,,,
MGT4_ST325,,,North America,,,,
MGT4_ST326,,,Europe,,,,
MGT4_ST329,,,North America,,,,
MGT4_ST354,,,,,,,MGT4_ST354
MGT4_ST355,,,Europe,,,,
MGT4_ST356,,,Europe,,,,
MGT4_ST357,,,Europe,,,,
MGT4_ST362,,,,,,,MGT4_ST362
MGT4_ST370,,,North America,,,,
MGT4_ST373,,,Europe,,,,
MGT4_ST375,,,Europe,,,,
MGT4_ST376,,,Europe,,,,
MGT4_ST380,,,North America,,,,
MGT4_ST385,,,Europe,,,,
MGT4_ST394,,,North America,,,,
MGT4_ST396,,,North America,,,,
MGT4_ST399,,,North America,,,,
MGT4_ST403,,,North America,,,,
MGT4_ST406,,,North America,,,,
MGT4_ST41,,,,,,,
MGT4_ST410,,,North America,,,,
MGT4_ST416,,,North America,,,,
MGT4_ST420,,,North America,,,,
MGT4_ST424,,,Europe,,,,
MGT4_ST429,,,North America,,,,
MGT4_ST438,,,North America,,,,
MGT4_ST444,,,Europe,,,,
MGT4_ST450,,,Europe,,,,
MGT4_ST451,,,,,,,
MGT4_ST452,,,Europe,,,,
MGT4_ST455,,,Europe,,,,
MGT4_ST466,,,Europe,,,,
MGT4_ST47,,,,,,,
